sku,price,category,name,currency,country,store
MLXX3,{'fullPrice': 1499.0},mac,MacBook Air with M2 chip - Space Gray,USD,sh,AOS: US Consumer
MLXW3,{'fullPrice': 1199.0},mac,MacBook Air with M2 chip - Space Gray,USD,sh,AOS: US Consumer
MLY33,{'fullPrice': 1199.0},mac,MacBook Air with M2 chip - Midnight,USD,sh,AOS: US Consumer
MLY43,{'fullPrice': 1499.0},mac,MacBook Air with M2 chip - Midnight,USD,sh,AOS: US Consumer
MGN63,{'fullPrice': 1219.0},mac,MacBook Air with M1 chip - Space Gray,EUR,be,AOS: Belgium French Consumer
MGND3,{'fullPrice': 1219.0},mac,MacBook Air with M1 chip - Gold,EUR,be,AOS: Belgium French Consumer
MGN93,{'fullPrice': 1219.0},mac,MacBook Air with M1 chip - Silver,EUR,be,AOS: Belgium French Consumer
MLY23,{'fullPrice': 1869.0},mac,MacBook Air with M2 chip - Starlight,EUR,be,AOS: Belgium French Consumer
MLY13,{'fullPrice': 1519.0},mac,MacBook Air with M2 chip - Starlight,EUR,be,AOS: Belgium French Consumer
MLY03,{'fullPrice': 1869.0},mac,MacBook Air with M2 chip - Silver,EUR,be,AOS: Belgium French Consumer
MLXY3,{'fullPrice': 1519.0},mac,MacBook Air with M2 chip - Silver,EUR,be,AOS: Belgium French Consumer
MLXX3,{'fullPrice': 1869.0},mac,MacBook Air with M2 chip - Space Gray,EUR,be,AOS: Belgium French Consumer
MLXW3,{'fullPrice': 1519.0},mac,MacBook Air with M2 chip - Space Gray,EUR,be,AOS: Belgium French Consumer
MLY33,{'fullPrice': 1519.0},mac,MacBook Air with M2 chip - Midnight,EUR,be,AOS: Belgium French Consumer
MLY43,{'fullPrice': 1869.0},mac,MacBook Air with M2 chip - Midnight,EUR,be,AOS: Belgium French Consumer
MGN63,{'fullPrice': 5799.0},mac,MacBook Air with M1 chip - Space Gray,PLN,pl,AOS: Poland Consumer 
MGND3,{'fullPrice': 5799.0},mac,MacBook Air with M1 chip - Gold,PLN,pl,AOS: Poland Consumer 
MGN93,{'fullPrice': 5799.0},mac,MacBook Air with M1 chip - Silver,PLN,pl,AOS: Poland Consumer 
MLY23,{'fullPrice': 8799.0},mac,MacBook Air with M2 chip - Starlight,PLN,pl,AOS: Poland Consumer 
MLY13,{'fullPrice': 6999.0},mac,MacBook Air with M2 chip - Starlight,PLN,pl,AOS: Poland Consumer 
MLY03,{'fullPrice': 8799.0},mac,MacBook Air with M2 chip - Silver,PLN,pl,AOS: Poland Consumer 
MLXY3,{'fullPrice': 6999.0},mac,MacBook Air with M2 chip - Silver,PLN,pl,AOS: Poland Consumer 
MLXX3,{'fullPrice': 8799.0},mac,MacBook Air with M2 chip - Space Gray,PLN,pl,AOS: Poland Consumer 
MLXW3,{'fullPrice': 6999.0},mac,MacBook Air with M2 chip - Space Gray,PLN,pl,AOS: Poland Consumer 
MLY33,{'fullPrice': 6999.0},mac,MacBook Air with M2 chip - Midnight,PLN,pl,AOS: Poland Consumer 
MLY43,{'fullPrice': 8799.0},mac,MacBook Air with M2 chip - Midnight,PLN,pl,AOS: Poland Consumer 
MGN63,{'fullPrice': 32900.0},mac,MacBook Air with M1 chip - Space Gray,THB,th,AOS: Thailand Consumer (Thai)
MGND3,{'fullPrice': 32900.0},mac,MacBook Air with M1 chip - Gold,THB,th,AOS: Thailand Consumer (Thai)
MGN93,{'fullPrice': 32900.0},mac,MacBook Air with M1 chip - Silver,THB,th,AOS: Thailand Consumer (Thai)
MLY23,{'fullPrice': 54900.0},mac,MacBook Air with M2 chip - Starlight,THB,th,AOS: Thailand Consumer (Thai)
MLY13,{'fullPrice': 43900.0},mac,MacBook Air with M2 chip - Starlight,THB,th,AOS: Thailand Consumer (Thai)
MLY03,{'fullPrice': 54900.0},mac,MacBook Air with M2 chip - Silver,THB,th,AOS: Thailand Consumer (Thai)
MLXY3,{'fullPrice': 43900.0},mac,MacBook Air with M2 chip - Silver,THB,th,AOS: Thailand Consumer (Thai)
MLXX3,{'fullPrice': 54900.0},mac,MacBook Air with M2 chip - Space Gray,THB,th,AOS: Thailand Consumer (Thai)
MLXW3,{'fullPrice': 43900.0},mac,MacBook Air with M2 chip - Space Gray,THB,th,AOS: Thailand Consumer (Thai)
MLY33,{'fullPrice': 43900.0},mac,MacBook Air with M2 chip - Midnight,THB,th,AOS: Thailand Consumer (Thai)
MLY43,{'fullPrice': 54900.0},mac,MacBook Air with M2 chip - Midnight,THB,th,AOS: Thailand Consumer (Thai)
MGN63,{'fullPrice': 25999.0},mac,MacBook Air with M1 chip - Space Gray,MXN,mx,AOS: Mexico Consumer
MGND3,{'fullPrice': 25999.0},mac,MacBook Air with M1 chip - Gold,MXN,mx,AOS: Mexico Consumer
MGN93,{'fullPrice': 25999.0},mac,MacBook Air with M1 chip - Silver,MXN,mx,AOS: Mexico Consumer
MLY23,{'fullPrice': 37999.0},mac,MacBook Air with M2 chip - Starlight,MXN,mx,AOS: Mexico Consumer
MLY13,{'fullPrice': 29999.0},mac,MacBook Air with M2 chip - Starlight,MXN,mx,AOS: Mexico Consumer
MLY03,{'fullPrice': 37999.0},mac,MacBook Air with M2 chip - Silver,MXN,mx,AOS: Mexico Consumer
MLXY3,{'fullPrice': 29999.0},mac,MacBook Air with M2 chip - Silver,MXN,mx,AOS: Mexico Consumer
MLXX3,{'fullPrice': 37999.0},mac,MacBook Air with M2 chip - Space Gray,MXN,mx,AOS: Mexico Consumer
MLXW3,{'fullPrice': 29999.0},mac,MacBook Air with M2 chip - Space Gray,MXN,mx,AOS: Mexico Consumer
MLY33,{'fullPrice': 29999.0},mac,MacBook Air with M2 chip - Midnight,MXN,mx,AOS: Mexico Consumer
MLY43,{'fullPrice': 37999.0},mac,MacBook Air with M2 chip - Midnight,MXN,mx,AOS: Mexico Consumer
